	SRR6915092_500K_merged_Abundance.RPKs	SRR6915093_500K_merged_Abundance.RPKs	SRR6915094_500K_merged_Abundance.RPKs	SRR6915095_500K_merged_Abundance.RPKs	SRR6915096_500K_merged_Abundance.RPKs	SRR6915097_500K_merged_Abundance.RPKs	SRR6915098_500K_merged_Abundance.RPKs	SRR6915099_500K_merged_Abundance.RPKs	SRR6915100_500K_merged_Abundance.RPKs
PWY-6163	5.6096463911863093e-05	0.00011362699721240996	0.0001347567270916538	0.0001276574063093451	0.00019834022057205528	0.00013232951765981813	0.0001781483569923141	0.00012687276103570458	0.0001336871899465298
PWY-6628	5.691937862611904e-05	5.593607217342809e-05	0.00010491409050278924	0.0001213017488125766	0.00018820925109598846	6.986736860832704e-05	0.000178975400254748	5.8316102449936625e-05	7.463536892573124e-05
PWY-6629	5.240786620999255e-05	5.9946045075333574e-05	0.00013434297639897927	0.00011667524185260246	0.00017056613998170546	2.6538372489693782e-05	0.00016539943231662094	7.495646343740541e-05	9.931706597159335e-05
PWY-6630	4.432244671116749e-05	2.2333910114244582e-05	7.549615481475624e-05	9.075266168729706e-05	0.0001844438163448831	3.353718218022187e-05	0.00016912739860093767	5.8316102449936625e-05	1.851928031323176e-05
PWY-5837	2.884544082651491e-07	1.753808730212881e-06	4.481217143497073e-05	7.996206873811555e-05	0.00010902278036268025	1.6541120800186063e-07	0.00010631959591420943	1.1238817299167371e-05	1.2912560124482205e-06
PWY-5838	9.72018191443066e-07	5.830363652275908e-06	8.965343433619433e-05	0.00012180829204159124	0.00014067141971731872	5.637836204846784e-07	0.00014646843430180401	2.9259842988769327e-05	4.198056362405689e-06
PWY-5840	4.41848250366927e-07	7.63390806372503e-07	5.5405733456394004e-05	0.0001121305994885308	0.0001382779023514071	3.4661191061609465e-07	0.00013682671416225456	1.8779537095273243e-05	3.939845659191353e-07
PWY-5845	4.41848250366927e-07	7.63390806372503e-07	5.5405733456394004e-05	0.0001121305994885308	0.0001382779023514071	3.4661191061609465e-07	0.00013682671416225456	1.8779537095273243e-05	3.939845659191353e-07
PWY-5850	4.41848250366927e-07	7.63390806372503e-07	5.5405733456394004e-05	0.0001121305994885308	0.0001382779023514071	3.4661191061609465e-07	0.00013682671416225456	1.8779537095273243e-05	3.939845659191353e-07
PWY-5860	2.9522501412052776e-07	5.097894940048465e-07	4.171579537593179e-05	0.0001007776404468775	0.0001328428921844415	2.3149720570442746e-07	0.00011805976346663933	1.3550367623149677e-05	2.631247881688429e-07
PWY-5861	6.512124574504053e-07	3.937779181752984e-06	7.33685493883638e-05	0.00011286668685906325	0.0001361819745947992	3.7697509197087495e-07	0.00012905508333610434	2.2129101709707545e-05	2.8528180816798747e-06
PWY-5862	2.9522501412052776e-07	5.097894940048465e-07	4.171579537593179e-05	0.0001007776404468775	0.0001328428921844415	2.3149720570442746e-07	0.00011805976346663933	1.3550367623149677e-05	2.631247881688429e-07
PWY-5896	4.41848250366927e-07	7.63390806372503e-07	5.5405733456394004e-05	0.0001121305994885308	0.0001382779023514071	3.4661191061609465e-07	0.00013682671416225456	1.8779537095273243e-05	3.939845659191353e-07
PWY-5897	8.582196924550953e-07	5.146752303286129e-06	8.45874140467751e-05	0.00011797982811459218	0.00014058505145325738	4.937871878714062e-07	0.000143502705236207	2.6962598238082567e-05	3.702461640151009e-06
PWY-5898	8.582196924550953e-07	5.146752303286129e-06	8.45874140467751e-05	0.00011797982811459218	0.00014058505145325738	4.937871878714062e-07	0.000143502705236207	2.6962598238082567e-05	3.702461640151009e-06
PWY-5899	8.582196924550953e-07	5.146752303286129e-06	8.45874140467751e-05	0.00011797982811459218	0.00014058505145325738	4.937871878714062e-07	0.000143502705236207	2.6962598238082567e-05	3.702461640151009e-06
NONMEVIPP-PWY	9.678919510389614e-05	0.00013000428013138675	0.00014157053705506452	0.00011001665464884117	0.00016113777357067006	0.0001297074841380241	0.00013209386615349242	0.0001112261398705158	0.00010433804429673944
PWY-5121	1.1518999044040243e-05	2.6431103089063766e-05	2.6623659436779212e-05	1.019857472843781e-05	1.42258117767729e-05	7.54583038483715e-05	1.117817602239977e-05	3.981439739321837e-05	0.00010024142413649909
PWY-6270	3.736847469578063e-05	4.0898445068858504e-05	0.00013341442996265824	7.758069377071919e-05	0.00013487838362577612	7.137813660341267e-05	0.000120344125890774	4.315476012721526e-05	3.830469180957226e-05
